--- [ROUND vs GRU: PHASE ANGLE LOCK TEST] ---
Order: ['UNIVERSAL', 'SYMMETRY', 'RESONANCE', 'COGITATING', 'TOPOLOGY', 'MONISM']
Epochs: 12500 | ROUND Hidden: 64 | GRU Hidden: 256
E    0 | R: 0.02 | G: 0.00
E  100 | R: 0.19 | G: 0.11
E  200 | R: 0.19 | G: 0.17
E  300 | R: 0.19 | G: 0.19
E  400 | R: 0.19 | G: 0.19
E  500 | R: 0.19 | G: 0.19
E  600 | R: 0.19 | G: 0.19
E  700 | R: 0.19 | G: 0.19
E  800 | R: 0.19 | G: 0.19
E  900 | R: 0.19 | G: 0.19
E 1000 | R: 0.19 | G: 0.19
E 1100 | R: 0.19 | G: 0.19
E 1200 | R: 0.19 | G: 0.19
E 1300 | R: 0.19 | G: 0.19
E 1400 | R: 0.19 | G: 0.19
E 1500 | R: 0.19 | G: 0.19
E 1600 | R: 0.19 | G: 0.19
E 1700 | R: 0.19 | G: 0.19
E 1800 | R: 0.19 | G: 0.19
E 1900 | R: 0.19 | G: 0.19
E 2000 | R: 0.19 | G: 0.19
E 2100 | R: 0.14 | G: 0.20
E 2200 | R: 0.33 | G: 0.31
E 2300 | R: 0.31 | G: 0.33
E 2400 | R: 0.33 | G: 0.35
E 2500 | R: 0.33 | G: 0.33
E 2600 | R: 0.33 | G: 0.33
E 2700 | R: 0.33 | G: 0.33
E 2800 | R: 0.33 | G: 0.33
E 2900 | R: 0.33 | G: 0.33
E 3000 | R: 0.33 | G: 0.33
E 3100 | R: 0.33 | G: 0.33
E 3200 | R: 0.33 | G: 0.33
E 3300 | R: 0.33 | G: 0.33
E 3400 | R: 0.33 | G: 0.33
E 3500 | R: 0.33 | G: 0.33
E 3600 | R: 0.33 | G: 0.33
E 3700 | R: 0.33 | G: 0.35
E 3800 | R: 0.33 | G: 0.33
E 3900 | R: 0.33 | G: 0.33
E 4000 | R: 0.33 | G: 0.33
E 4100 | R: 0.33 | G: 0.33
E 4200 | R: 0.32 | G: 0.34
E 4300 | R: 0.52 | G: 0.48
E 4400 | R: 0.52 | G: 0.52
E 4500 | R: 0.50 | G: 0.48
E 4600 | R: 0.50 | G: 0.48
E 4700 | R: 0.50 | G: 0.48
E 4800 | R: 0.52 | G: 0.50
E 4900 | R: 0.52 | G: 0.48
E 5000 | R: 0.48 | G: 0.48
E 5100 | R: 0.50 | G: 0.48
E 5200 | R: 0.52 | G: 0.48
E 5300 | R: 0.50 | G: 0.48
E 5400 | R: 0.50 | G: 0.48
E 5500 | R: 0.52 | G: 0.48
E 5600 | R: 0.50 | G: 0.48
E 5700 | R: 0.50 | G: 0.50
E 5800 | R: 0.50 | G: 0.50
E 5900 | R: 0.50 | G: 0.50
E 6000 | R: 0.50 | G: 0.50
E 6100 | R: 0.50 | G: 0.50
E 6200 | R: 0.50 | G: 0.50
E 6300 | R: 0.44 | G: 0.59
E 6400 | R: 0.65 | G: 0.65
E 6500 | R: 0.67 | G: 0.65
E 6600 | R: 0.65 | G: 0.65
E 6700 | R: 0.67 | G: 0.65
E 6800 | R: 0.67 | G: 0.65
E 6900 | R: 0.67 | G: 0.65
E 7000 | R: 0.69 | G: 0.65
E 7100 | R: 0.67 | G: 0.65
E 7200 | R: 0.67 | G: 0.65
E 7300 | R: 0.67 | G: 0.65
E 7400 | R: 0.67 | G: 0.65
E 7500 | R: 0.72 | G: 0.65
E 7600 | R: 0.69 | G: 0.65
E 7700 | R: 0.67 | G: 0.65
E 7800 | R: 0.69 | G: 0.65
E 7900 | R: 0.72 | G: 0.65
E 8000 | R: 0.67 | G: 0.65
E 8100 | R: 0.69 | G: 0.67
E 8200 | R: 0.69 | G: 0.67
E 8300 | R: 0.67 | G: 0.67
E 8400 | R: 0.73 | G: 0.78
E 8500 | R: 0.86 | G: 0.79
E 8600 | R: 0.86 | G: 0.83
E 8700 | R: 0.84 | G: 0.83
E 8800 | R: 0.86 | G: 0.83
E 8900 | R: 0.86 | G: 0.80
E 9000 | R: 0.86 | G: 0.80
E 9100 | R: 0.86 | G: 0.83
E 9200 | R: 0.86 | G: 0.80
E 9300 | R: 0.86 | G: 0.80
E 9400 | R: 0.86 | G: 0.82
E 9500 | R: 0.86 | G: 0.80
E 9600 | R: 0.86 | G: 0.83
E 9700 | R: 0.86 | G: 0.83
E 9800 | R: 0.86 | G: 0.83
E 9900 | R: 0.84 | G: 0.83
E 10000 | R: 0.86 | G: 0.81
E 10100 | R: 0.86 | G: 0.83
E 10200 | R: 0.86 | G: 0.83
E 10300 | R: 0.86 | G: 0.83
E 10400 | R: 0.86 | G: 0.83
E 10500 | R: 0.95 | G: 0.91
E 10600 | R: 1.00 | G: 0.98
E 10700 | R: 1.00 | G: 0.98
E 10800 | R: 1.00 | G: 0.98
E 10900 | R: 1.00 | G: 0.98

!!! [NOISE STORM INITIATED] Epoch 11000: Interference Level 0.5 (Max 50% Corruption) !!!
E 11000 | R: 1.00 | G: 0.98
E 11100 | R: 1.00 | G: 0.95
E 11200 | R: 1.00 | G: 0.96
E 11300 | R: 1.00 | G: 0.95
E 11400 | R: 1.00 | G: 0.91
E 11500 | R: 1.00 | G: 0.91
E 11600 | R: 1.00 | G: 0.96
E 11700 | R: 1.00 | G: 0.93
E 11800 | R: 1.00 | G: 0.95
E 11900 | R: 1.00 | G: 0.95
E 12000 | R: 1.00 | G: 0.95
E 12100 | R: 1.00 | G: 0.95
E 12200 | R: 1.00 | G: 0.95
E 12300 | R: 1.00 | G: 0.95
E 12400 | R: 1.00 | G: 0.95
Results saved to data\181f675c\benchmark_phase_lock_cf05bd31.png

--- Final Comparative Audit ---
Word         | ROUND Recall    | GRU Recall     
------------------------------------------------
UNIVERSAL    |         100.0% |          88.9%
SYMMETRY     |         100.0% |         100.0%
RESONANCE    |         100.0% |         100.0%
COGITATING   |         100.0% |          80.0%
TOPOLOGY     |         100.0% |         100.0%
MONISM       |         100.0% |         100.0%
