Batch UID: 5f6a4728
Dev: cuda
Training ROUND
R1 E0: L=1.1795, A=0.60
R1 E100: L=0.0207, A=1.00
R1 E200: L=0.0207, A=1.00
R1 E300: L=0.0207, A=1.00
R1 E400: L=0.0209, A=1.00
R1 E500: L=0.0207, A=1.00
R1 E600: L=0.0211, A=1.00
R1 E700: L=0.0208, A=1.00
R1 E800: L=0.0208, A=1.00
R1 E900: L=0.0208, A=1.00
R2 E0: L=1.2890, A=0.49
R2 E100: L=0.0210, A=1.00
R2 E200: L=0.0205, A=1.00
R2 E300: L=0.0206, A=1.00
R2 E400: L=0.0206, A=1.00
R2 E500: L=0.0205, A=1.00
R2 E600: L=0.0201, A=1.00
R2 E700: L=0.0202, A=1.00
R2 E800: L=0.0203, A=1.00
R2 E900: L=0.0203, A=1.00
R3 E0: L=1.3434, A=0.47
R3 E100: L=0.0212, A=1.00
R3 E200: L=0.0208, A=1.00
R3 E300: L=0.0209, A=1.00
R3 E400: L=0.0210, A=1.00
R3 E500: L=0.0207, A=1.00
R3 E600: L=0.0207, A=1.00
R3 E700: L=0.0208, A=1.00
R3 E800: L=0.0209, A=1.00
R3 E900: L=0.0209, A=1.00
R4 E0: L=1.2528, A=0.48
R4 E100: L=0.0206, A=1.00
R4 E200: L=0.0209, A=1.00
R4 E300: L=0.0204, A=1.00
R4 E400: L=0.0204, A=1.00
R4 E500: L=0.0204, A=1.00
R4 E600: L=0.0202, A=1.00
R4 E700: L=0.0204, A=1.00
R4 E800: L=0.0202, A=1.00
R4 E900: L=0.0206, A=1.00
R5 E0: L=1.5149, A=0.48
R5 E100: L=0.0208, A=1.00
R5 E200: L=0.0205, A=1.00
R5 E300: L=0.0204, A=1.00
R5 E400: L=0.0203, A=1.00
R5 E500: L=0.0204, A=1.00
R5 E600: L=0.0205, A=1.00
R5 E700: L=0.0202, A=1.00
R5 E800: L=0.0203, A=1.00
R5 E900: L=0.0199, A=1.00
Training GRU
G1 E0: L=0.6933, A=0.49
G1 E100: L=0.0030, A=1.00
G1 E200: L=0.0005, A=1.00
G1 E300: L=0.0003, A=1.00
G1 E400: L=0.0002, A=1.00
G1 E500: L=0.0001, A=1.00
G1 E600: L=0.0001, A=1.00
G1 E700: L=0.0001, A=1.00
G1 E800: L=0.0001, A=1.00
G1 E900: L=0.0000, A=1.00
G2 E0: L=0.6935, A=0.50
G2 E100: L=0.0008, A=1.00
G2 E200: L=0.0003, A=1.00
G2 E300: L=0.0002, A=1.00
G2 E400: L=0.0001, A=1.00
G2 E500: L=0.0001, A=1.00
G2 E600: L=0.0001, A=1.00
G2 E700: L=0.0000, A=1.00
G2 E800: L=0.0000, A=1.00
G2 E900: L=0.0000, A=1.00
G3 E0: L=0.6937, A=0.53
G3 E100: L=0.0007, A=1.00
G3 E200: L=0.0003, A=1.00
G3 E300: L=0.0002, A=1.00
G3 E400: L=0.0001, A=1.00
G3 E500: L=0.0001, A=1.00
G3 E600: L=0.0001, A=1.00
G3 E700: L=0.0000, A=1.00
G3 E800: L=0.0000, A=1.00
G3 E900: L=0.0000, A=1.00
G4 E0: L=0.6963, A=0.51
G4 E100: L=0.0015, A=1.00
G4 E200: L=0.0004, A=1.00
G4 E300: L=0.0002, A=1.00
G4 E400: L=0.0001, A=1.00
G4 E500: L=0.0001, A=1.00
G4 E600: L=0.0001, A=1.00
G4 E700: L=0.0001, A=1.00
G4 E800: L=0.0000, A=1.00
G4 E900: L=0.0000, A=1.00
G5 E0: L=0.6929, A=0.51
G5 E100: L=0.0036, A=1.00
G5 E200: L=0.0009, A=1.00
G5 E300: L=0.0004, A=1.00
G5 E400: L=0.0003, A=1.00
G5 E500: L=0.0002, A=1.00
G5 E600: L=0.0001, A=1.00
G5 E700: L=0.0001, A=1.00
G5 E800: L=0.0001, A=1.00
G5 E900: L=0.0001, A=1.00
Done.
